id,semana,product,type,size,unit,price
1,1,Aguacate Hass,Importado,Extra,kg,2522
2,2,Aguacate Hass,Importado,Extra,kg,2522
3,3,Aguacate Hass,Importado,Extra,kg,2522
4,4,Aguacate Hass,Importado,Extra,kg,2522
5,1,Aguacate Hass,Importado,Super Extra,kg,3132
6,2,Aguacate Hass,Importado,Super Extra,kg,3132
7,3,Aguacate Hass,Importado,Super Extra,kg,3132
8,4,Aguacate Hass,Importado,Super Extra,kg,3132
9,1,Aguacate Hass,Importado,Supremo,kg,3378
10,2,Aguacate Hass,Importado,Supremo,kg,3378
11,3,Aguacate Hass,Importado,Supremo,kg,3378
12,4,Aguacate Hass,Importado,Supremo,kg,3378